104.19.74.197,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,162.43,0.00
104.19.16.180,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,163.44,0.00
104.19.67.86,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,164.20,0.00
162.159.138.52,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,164.75,0.00
162.159.137.161,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,168.58,0.00
162.159.140.137,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,171.38,0.00
162.159.130.113,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,172.29,0.00
162.159.246.0,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,173.67,0.00
162.159.135.86,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,173.81,0.00
104.19.0.245,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,174.07,0.00
104.19.10.38,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,174.45,0.00
162.159.194.238,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,175.34,0.00
104.19.90.171,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,175.47,0.00
104.18.31.18443,8443,true,NRT,Asia Pacific,Tokyo,4,0.00,175.81,0.00
104.19.64.18443,8443,true,NRT,Asia Pacific,Tokyo,4,0.00,176.46,0.00
104.16.126.92,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,177.27,0.00
162.159.242.45,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,177.32,0.00
162.159.141.32,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,177.59,0.00
162.159.254.141,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,177.79,0.00
104.19.5.30,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,177.94,0.00
162.159.142.247,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,177.96,0.00
104.19.127.205,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,178.61,0.00
141.101.123.110,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,178.70,0.00
162.159.133.7,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,179.28,0.00
104.16.127.176,8443,8443,true,NRT,Asia Pacific,Tokyo,0.00,180.69,0.00
